Experiment ID,Air flow (kg/hr),RPM,Incline (degree),Solid loading (%),Solid flow (kg/hr),T-g-1,T-g-2,T-g-3,T-g-4,T-g-5,T-s-1,T-s-2,T-s-3,T-s-4,T-s-5,T-w-1,T-w-2,T-w-3,T-w-4
A11,24.6,3,1.2,17,25,450,486,524,574,635,334,356,378,431,521,320,351,397,500
A12,24.6,3,1.2,17,25,425,460,489,535,592,323,339,356,397,473,314,338,372,445
A13,24.6,3,1.2,17,25,402,423,457,493,538,321,337,354,392,447,313,333,368,429
A14,24.6,3,1.2,17,25,372,392,411,436,457,314,327,341,368,405,308,326,352,395
A15,24.6,1.5,1.2,17,14.2,330.6,340,348.3,358.8,372,306.7,308.9,312.8,326.7,348.3,301,306,316,333
A16,24.6,1.5,1.2,17,14.2,414,438,462,494,535,341,356,374,417,473,324,347,387.5,447
A17,24.6,1.5,1.2,17,14.2,470,505,543,594,652,364,383,410,473,554,341,370,425,520
A18,18.6,3,1.2,15,21,351.5,378.9,412.2,445,488,313.9,325.6,338.9,363.9,402.8,308,323,349,385
A19,18.6,1.6,2.2,17,29.1,350,375.1,405,448,497,312.2,322.2,332.2,355.5,391.7,304,317,341,377
A20,18.6,1.6,1.2,17,15,365,392.8,427.2,464,507,330.5,340,352.8,383.3,424.4,315.5,331,363,407
A21,34,1.5,1.2,17,15,380,398,418,436,455,335,346.1,360.3,384.4,411.1,319.4,336,365.8,401
A22,34,3,1.2,17,34,368,388,407,428,455.8,320.6,331.1,341.7,363.3,390,311,326.6,349.6,378
A23,34,1.5,1.2,17,15,383,400.8,418,437,456,337.8,348.9,365,385.6,412.8,321,338,365,400
A24,34,6,1.2,17,50.5,357,374,390.6,407,430,308.3,315,322.2,336.7,360,302,311.6,330,355
A25,34,1.5,3.4,17,39,361,377.2,391.5,410,430,305.6,313.6,322.2,338.9,362.1,300,313.4,331,360
A26,34,3.2,2.2,11,34.6,370,385,398.9,414,437,313.8,323.3,333.3,350,376.1,306,321.6,340,364.8
A27,50.5,3.2,2.2,11,34,369,380,388.9,401,413,316.7,326.1,334.4,351.7,373.9,306.8,323,341.6,366
A28,50.5,3.1,3,11,52.7,361,371,381.1,395,410,312.8,318.9,327.9,341.7,358.9,304,315.5,333,353
A29,50,3.1,1.2,11,19.4,376,386,396,406,417,328.9,339.4,353.9,370.6,391.1,320,338.8,350,380
A30,50,1.6,2.2,11,18.2,378,388,399,410,420.5,329.4,341.1,357.2,373.9,394.4,320,339,360,387
A31,50.5,6,2.2,11,66.3,353,365,375.6,387.5,404.5,308.3,313.9,321.5,331.7,350,302.3,313.6,326,345.6
A32,81,3,2,11,36,407,417.8,425.1,437.5,450,333.3,350.6,366.7,391.1,417.3,321.1,347.4,375.5,407
A33,65.5,3,2,11,36,393,407,418.3,431,445,326.1,341.7,358.3,380.6,407.2,313,338.4,367.4,395
A34,73,3,2,11,36,396.2,412.2,423.3,436,448.9,331.7,347.2,362.7,385.8,412.2,315.8,344,370,402
A35,81,3,2,11,36,396.8,411.1,422.2,433,444.4,326.7,348.9,366.7,388.9,414.2,315.8,345,375.5,404
A36,34,3,2,11,36,366.7,380.6,395.6,415,441,311.1,322.2,334.4,352.2,378.1,304.5,321.7,339,368
A37,34,3,2,11,36,420,445.4,476.7,513,560,322.8,343.3,369.4,399.7,443,312.6,341.1,380.4,425.5
A38,34,3,2,11,36,395,417,440.6,471,505,318.9,334.4,355,380,415.3,312.4,335.4,361,401
A39,34,3,2,11,36,420.6,446.5,475,512,559,323.9,343.3,369.4,400,445.4,312,344,380,425.5
A40,18.6,3,2,11,36,385.6,417,461.1,510,560,318.3,331.7,352,377.8,428,311,333,364,413
A41,18.6,3,2,11,36,358.3,376,410.6,447,505,308.9,317.8,332.2,348.3,387.2,300.4,317.6,335,372.8
A42,18.6,3,2,11,36,351.7,360,384.4,413.5,460,306.1,312.2,321.7,336.1,366.7,299,312.6,327,356.8
A43,18.6,3,2,11,36,375.6,400,440,478,535,313.3,325,345,365,412.2,306,325,352,397.5
A44,50,3,2,11,36,398,416.7,433.9,452.5,475,323.9,338.9,360,384.2,419.4,312,338,371,407
A45,65.5,0.9,2,6.5,12,412,425,434.4,441.1,448,361.1,373.9,391.7,416.7,434.4,339.8,365,400,428
A46,34,1,2,6.5,13.3,382.1,397.2,413.3,427.3,444,333.3,345.6,361.7,386.7,411.1,314,338.4,369.4,400
A47,34,3,2,6.5,35.8,367.8,382.2,398.9,416,441,312.8,322.8,336.1,352.8,380,306,323.6,344.2,370.5
A48,65.5,3,2,6.5,35.8,400,408,420.6,432,447,327.8,341.1,360,382,409.4,318,340.2,369,395
A49,65,0.9,2,6.5,11.7,419,427,435,442.3,448,368.9,378.3,397.8,419.4,438.3,349.6,374.4,402.5,430
A50,95.5,3,2,6.5,35.8,404,410.2,417.2,424,431,375,377.8,391.7,407.2,418.9,355,374,395,415
A51,95.5,1,2,6.5,15.8,406.6,412.2,417.6,422,427,370.6,377.2,390.6,402.7,418.3,351.4,372.2,393.3,413
A52,34,1,2,6.5,11.3,384,398.1,416.7,428,443,335.5,348.9,368.3,391.7,418.9,319,341.5,373,405
A53,95.5,1,2,6.5,16.1,403.3,409.5,414.4,413.5,422.8,374.4,375.6,388.9,404.4,415.6,347,369,395,410
A54,81,0.95,2,6.5,12,419,427,434.4,442,450,373.3,381.7,397.2,418.9,435,351,364.4,400,430
